Id,Type,Title,Year,LengthMinutes,MediaGenres
tt0271136,movie,Quicksand,2003,95,"Crime,Drama,Thriller"
tt0271200,movie,Soul Assassin,2001,96,"Action,Crime,Thriller"
tt0271210,movie,R.S.V.P.,2002,100,"Comedy,Crime,Thriller"
tt0271211,movie,Stoked: The Rise and Fall of Gator,2002,82,"Documentary,Sport"
tt0271219,movie,Tadpole,2002,78,"Comedy,Drama,Romance"
tt0271234,movie,Rhythm of the Saints,2003,83,Drama
tt0271259,movie,Welcome to Collinwood,2002,86,"Comedy,Crime"
tt0271263,movie,Eight Crazy Nights,2002,76,"Animation,Comedy,Musical"
tt0271278,tvSeries,Amigas y rivales,2001,45,"Drama,Romance"
tt0271288,tvSeries,Go Fish,2001,30,"Comedy,Romance"
tt0271303,tvSeries,Lance et compte - Nouvelle génération,2002,60,"Drama,Sport"
tt0271308,tvSeries,Tales from the Neverending Story,2001,375,"Adventure,Drama,Family"
tt0271324,tvSeries,Tribu.com,2001,59,"Comedy,Drama,Sci-Fi"
tt0271337,movie,18 ans après,2003,90,"Comedy,Drama,Romance"
tt0271366,movie,Antigua vida mía,2001,110,Drama
tt0271367,movie,Eight Legged Freaks,2002,99,"Action,Adventure,Comedy"
tt0271395,movie,Beyond Vanilla,2001,92,Documentary
tt0271400,movie,Black Swan,2002,90,"Comedy,Drama"
tt0271436,movie,Cold Fish,2001,91,"Crime,Drama,Thriller"
tt0271444,movie,Crooked Lines,2003,90,"Comedy,Crime"
tt0271451,movie,Dark Descent,2002,96,"Action,Adventure,Sci-Fi"
tt0271499,movie,Les fantômes de Louba,2001,107,Drama
tt0271537,movie,Happy Here and Now,2002,89,Drama
tt0271538,movie,Happy Now,2001,97,"Comedy,Thriller"
tt0271543,movie,Hidden Agenda,2001,94,"Action,Crime,Mystery"
tt0271547,movie,L'homme qui brodait des secrets,2001,120,Drama
tt0271580,movie,Jet Boy,2001,99,Drama
tt0271582,movie,Joshua,2002,91,Drama
tt0271604,movie,Kuch Khatti Kuch Meethi,2001,120,"Comedy,Drama,Romance"
tt0271637,movie,Met grote blijdschap,2001,90,"Drama,Mystery"
tt0271668,movie,National Security,2003,88,"Action,Comedy,Crime"
tt0271686,tvSeries,Oh Drama!,2001,60,Talk-Show
tt0271708,movie,Peak Experience,2003,108,"Adventure,Comedy,Fantasy"
tt0271742,movie,Pyar Ki Dhun,2002,138,"Drama,Romance"
tt0271780,movie,The Channel,2002,49,Documentary
tt0271788,movie,Scandal: Sin in the City,2001,84,Drama
tt0271793,movie,La sociologie est un sport de combat,2001,146,Documentary
tt0271798,movie,Southside,2002,106,"Crime,Drama,Sport"
tt0271809,movie,Suspended Animation,2001,114,Thriller
tt0271882,movie,You Stupid Man,2002,95,"Comedy,Romance"
tt0271885,movie,Zig Zag,2002,101,Drama
tt0271893,movie,Îles flottantes,2001,82,Comedy
tt0271899,tvSeries,Bill Oddie Goes Wild,2001,30,Documentary
tt0271903,tvSeries,Clive Anderson Now,2001,30,Talk-Show
tt0271914,tvSeries,Love Is a Four-Letter Word,2001,30,Drama
tt0271931,tvSeries,The Unprofessionals,2001,22,"Action,Comedy"
tt0271935,movie,15 août,2001,90,Comedy
tt0271945,movie,Absolument fabuleux,2001,105,Comedy
tt0271946,movie,Dak mo mai sing,2001,87,"Action,Comedy,Crime"
tt0271971,movie,Après la tempête,2001,82,Documentary
tt0271972,movie,Arachnid,2001,95,"Action,Adventure,Horror"
tt0271982,movie,Backgammon,2001,95,Thriller
tt0271984,movie,Bad Karma,2001,92,"Horror,Thriller"
tt0272020,movie,The Last Castle,2001,131,"Action,Drama,Thriller"
tt0272022,movie,Chain Camera,2001,90,Documentary
tt0272036,movie,Deep Freeze,2001,83,"Action,Adventure,Comedy"
tt0272048,movie,Circus Baobab,2001,100,Documentary
tt0272068,movie,Dead Dogs Lie,2001,98,"Action,Adventure,Comedy"
tt0272069,movie,Demonicus,2001,72,Horror
tt0272087,movie,Vallen,2001,105,"Drama,Family,Romance"
tt0272093,movie,Les âmes câlines,2001,89,"Comedy,Romance"
tt0272105,movie,Gerak Khas the Movie,2001,117,"Action,Adventure,Crime"
tt0272116,movie,HS - hors service,2001,95,"Comedy,Crime"
tt0272123,movie,Heinrich der Säger,2001,99,"Action,Adventure,Comedy"
tt0272125,movie,Snapshots,2002,93,Romance
tt0272147,movie,Vampires: Los Muertos,2002,93,"Action,Horror,Thriller"
tt0272152,movie,K-PAX,2001,120,"Drama,Mystery,Sci-Fi"
tt0272196,movie,Monkey Love,2002,96,"Comedy,Romance"
tt0272207,movie,Narc,2002,105,"Crime,Drama,Mystery"
tt0272263,movie,Przedwiosnie,2001,140,Drama
tt0272291,movie,Seri Dewi Malam,2001,103,"Drama,Fantasy,Mystery"
tt0272338,movie,Punch-Drunk Love,2002,95,"Comedy,Drama,Romance"
tt0272362,movie,Chung Mou Yim,2001,123,"Comedy,Fantasy"
tt0272376,tvSeries,The Division,2001,60,"Crime,Drama,Mystery"
